NumeroHomologacao;DataEmissaoHomologacao;TipodeProduto;Modelo;NomeComercial;ModoOperacao5G;Fabricante
190722300953;2024-01-30;Telefone Móvel Celular;SM-G556B;;Ambos (SA / NSA);Samsung Electronics Co Ltd.
190432100953;2023-09-19;Telefone Móvel Celular;SM-A536E/DS;;Ambos (SA / NSA);Samsung Electronics Co Ltd.
186052308726;2023-10-06;Telefone Móvel Celular;WCMTB;Touch Computer;Ambos (SA / NSA);Zebra Technologies Corporation
184032100953;2023-09-19;Telefone Móvel Celular;SM-A336M/DSN;;Ambos (SA / NSA);Samsung Electronics Co Ltd.
180192200330;2024-11-14;Telefone Móvel Celular;XT2309-2;ThinkPhone by Motorola;Ambos (SA / NSA);Motorola Mobility LLC
178742000330;2022-05-20;Telefone Móvel Celular;XT2125-4;Moto G G100;Non-standalone (NSA);Motorola Mobility LLC
176692100330;2024-11-14;Telefone Móvel Celular;XT2201-1;motorola edge 30 pro;Ambos (SA / NSA);Motorola Mobility LLC
175602314550;2024-05-10;Telefone Móvel Celular;2312DRAABG;Redmi Note 13 5G;Ambos (SA / NSA);Xiaomi Communications Co., Ltd.
175412314550;2024-06-10;Telefone Móvel Celular;23122PCD1G;Poco X6 5G;Ambos (SA / NSA);Xiaomi Communications Co., Ltd.
175412314550;2024-06-10;Telefone Móvel Celular;2312DRA50G;Redmi Note 13 Pro 5G;Ambos (SA / NSA);Xiaomi Communications Co., Ltd.
174942000953;2022-04-14;Telefone Móvel Celular;SM-A526B/DS;;Non-standalone (NSA);Samsung Electronics Co Ltd.
174352000953;2022-03-30;Telefone Móvel Celular;SM-A326B/DS;;Non-standalone (NSA);Samsung Electronics Co Ltd.
174092200330;2024-09-13;Telefone Móvel Celular;XT2335-1;moto g53 5G;Ambos (SA / NSA);Motorola Mobility LLC
171892200953;2023-07-13;Telefone Móvel Celular;SM-A146M/DS;;Ambos (SA / NSA);Samsung Electronics Co Ltd.
171532200953;2024-06-15;Telefone Móvel Celular;SM-S918B/DS;;Ambos (SA / NSA);Samsung Electronics Co Ltd.
171522200953;2024-07-04;Telefone Móvel Celular;SM-S911B/DS;;Ambos (SA / NSA);Samsung Electronics Co Ltd.
171512200953;2024-06-24;Telefone Móvel Celular;SM-S916B/DS;;Ambos (SA / NSA);Samsung Electronics Co Ltd.
168722000953;2022-05-12;Telefone Móvel Celular;SM-G998B/DS;Galaxy S21 Ultra 5G;Ambos (SA / NSA);Samsung Electronics Co Ltd.
167752213411;2023-04-20;Telefone Móvel Celular;TA-1481;Nokia G60 5G;Ambos (SA / NSA);HMD Global Oy
167672013366;2021-11-24;Telefone Móvel Celular;RMX2111;realme 7 5G;Ambos (SA / NSA);Realme Chongqing Mobile Telecommunications Corp.,
167602000953;2022-04-05;Telefone Móvel Celular;SM-G991B/DS;Galaxy S21 5G;Ambos (SA / NSA);Samsung Electronics Co Ltd.
167592000953;2022-04-05;Telefone Móvel Celular;SM-G996B/DS;Galaxy S21 5G;Ambos (SA / NSA);Samsung Electronics Co Ltd.
167352203109;2022-12-06;Telefone Móvel Celular;ASUS_AI2203_D;ROG Phone 6D;Ambos (SA / NSA);Asustek Computer Inc.
162192100953;2023-06-21;Telefone Móvel Celular;SM-S908E/DS;;Ambos (SA / NSA);Samsung Electronics Co Ltd.
162182100953;2023-06-21;Telefone Móvel Celular;SM-S901E/DS;;Ambos (SA / NSA);Samsung Electronics Co Ltd.
162172100953;2023-07-07;Telefone Móvel Celular;SM-S906E/DS;;Ambos (SA / NSA);Samsung Electronics Co Ltd.
160332200330;2024-09-13;Telefone Móvel Celular;XT2237-1;moto g73 5G;Ambos (SA / NSA);Motorola Mobility LLC
158122307600;2023-12-04;Telefone Móvel Celular;T771K;;Ambos (SA / NSA);TCL Mobile Communication (HK) Co., Ltd.
152972213366;2023-05-04;Telefone Móvel Celular;RMX3686;Realme 10 Pro+ 5G;Ambos (SA / NSA);Realme Chongqing Mobile Telecommunications Corp.,
149992009185;2021-02-12;Telefone Móvel Celular;M2007J3SG;Mi 10T Pro;Ambos (SA / NSA);Xiaomi Communications Co., Ltd.
149992009185;2021-02-12;Telefone Móvel Celular;M2007J3SY;Mi 10T;Ambos (SA / NSA);Xiaomi Communications Co., Ltd.
148742000330;2022-05-13;Telefone Móvel Celular;XT2113-3;Motorola Moto G 5G;Non-standalone (NSA);Motorola Mobility LLC
147632207600;2023-02-17;Telefone Móvel Celular;T771H;TCL 40 R 5G;Ambos (SA / NSA);TCL Mobile Communication (HK) Co., Ltd.
139732300953;2023-09-22;Telefone Móvel Celular;SM-S711B/DS;;Ambos (SA / NSA);Samsung Electronics Co Ltd.
137392107600;2022-01-20;Telefone Móvel Celular;T810H;TCL 20 Pro 5G;Non-standalone (NSA);TCL Mobile Communication (HK) Co., Ltd.
132412100330;2022-04-01;Telefone Móvel Celular;XT2175-1;Moto g200;Ambos (SA / NSA);Motorola Mobility LLC
129992001993;2023-11-01;Telefone Móvel Celular;A2411;iPhone 12 Pro Max;Ambos (SA / NSA);Apple Inc.
129982001993;2023-11-01;Telefone Móvel Celular;A2407;iPhone 12 Pro;Ambos (SA / NSA);Apple Inc.
129972001993;2023-11-23;Telefone Móvel Celular;A2399;iPhone 12 Mini;Ambos (SA / NSA);Apple Inc.
129962001993;2023-10-27;Telefone Móvel Celular;A2403;iPhone 12;Ambos (SA / NSA);Apple Inc.
128972100953;2022-04-04;Telefone Móvel Celular;SM-M526B/DS;;Non-standalone (NSA);Samsung Electronics Co Ltd.
127832301993;2024-05-08;Telefone Móvel Celular;A3102;iPhone 15 Pro;Ambos (SA / NSA);Apple Inc.
127822301993;2024-05-08;Telefone Móvel Celular;A3106;iPhone 15 Pro Max;Ambos (SA / NSA);Apple Inc.
127582301993;2024-04-17;Telefone Móvel Celular;A3094;iPhone 15 Plus;Ambos (SA / NSA);Apple Inc.
127572301993;2024-04-18;Telefone Móvel Celular;A3090;iPhone 15;Ambos (SA / NSA);Apple Inc.
124652100330;2022-04-06;Telefone Móvel Celular;XT2169-1;Moto G71;Non-standalone (NSA);Motorola Mobility LLC
123142003109;2021-02-10;Telefone Móvel Celular;ZS670KS;Zenfone 7;Ambos (SA / NSA);Asustek Computer Inc.
121192313366;2023-09-13;Telefone Móvel Celular;RMX3785;;Ambos (SA / NSA);Realme Chongqing Mobile Telecommunications Corp.,
120462113411;2022-01-20;Telefone Móvel Celular;TA-1370;Nokia G50;Ambos (SA / NSA);HMD Global Oy
118332303109;2023-10-09;Telefone Móvel Celular;ASUS_AI2302;Zenfone 10;Ambos (SA / NSA);Asustek Computer Inc.
117602300330;2024-11-08;Telefone Móvel Celular;XT2307-1;motorola edge 40 neo;Ambos (SA / NSA);Motorola Mobility LLC
117072300330;2024-05-10;Telefone Móvel Celular;XT2347-1;moto g84 5G;Ambos (SA / NSA);Motorola Mobility LLC
117032300330;2024-05-10;Telefone Móvel Celular;XT2343-1;moto g54 5G;Ambos (SA / NSA);Motorola Mobility LLC
115312000330;2022-05-10;Telefone Móvel Celular;XT2075-3;Motorola Moto G 5G Plus;Non-standalone (NSA);Motorola Mobility LLC
113482109185;2022-05-20;Telefone Móvel Celular;2109119DG;;Ambos (SA / NSA);Xiaomi Communications Co., Ltd.
113002314862;2023-08-17;Telefone Móvel Celular;CPH2531;;Ambos (SA / NSA);Guangdong OPPO Mobile  Telecommunications Co., Ltd
112752101993;2023-09-19;Telefone Móvel Celular;A2628;iPhone 13 mini;Ambos (SA / NSA);Apple Inc.
112732101993;2023-09-04;Telefone Móvel Celular;A2638;iPhone 13 Pro;Ambos (SA / NSA);Apple Inc.
112722101993;2024-03-19;Telefone Móvel Celular;A2633;iPhone 13;Ambos (SA / NSA);Apple Inc.
112432101993;2023-09-04;Telefone Móvel Celular;A2643;iPhone 13 Pro Max;Ambos (SA / NSA);Apple Inc.
111532203109;2022-10-21;Telefone Móvel Celular;AI2202;Zenfone 9;Ambos (SA / NSA);Asustek Computer Inc.
111522203109;2022-10-18;Telefone Móvel Celular;ASUS_AI2201_C;ROG PHONE 6;Ambos (SA / NSA);Asustek Computer Inc.
111522203109;2022-10-18;Telefone Móvel Celular;ASUS_AI2201_D;ROG PHONE PRO;Ambos (SA / NSA);Asustek Computer Inc.
111172201993;2024-09-19;Telefone Móvel Celular;A2894;iPhone 14 Pro Max;Ambos (SA / NSA);Apple Inc.
111142201993;2024-03-14;Telefone Móvel Celular;A2890;iPhone 14 Pro;Ambos (SA / NSA);Apple Inc.
110482100953;2022-05-30;Telefone Móvel Celular;SM-A528B/DS;;Ambos (SA / NSA);Samsung Electronics Co Ltd.
110062000953;2022-05-11;Telefone Móvel Celular;SM-F916B;Galaxy Z Fold2 5G;Non-standalone (NSA);Samsung Electronics Co Ltd.
109872201993;2024-09-13;Telefone Móvel Celular;A2886;iPhone 14 Plus;Ambos (SA / NSA);Apple Inc.
109862201993;2024-09-13;Telefone Móvel Celular;A2882;iPhone 14;Ambos (SA / NSA);Apple Inc.
108052113366;2021-12-08;Telefone Móvel Celular;RMX3363;realme GT Master Edition;Ambos (SA / NSA);Realme Chongqing Mobile Telecommunications Corp.,
107332313366;2023-09-13;Telefone Móvel Celular;RMX3780;;Ambos (SA / NSA);Realme Chongqing Mobile Telecommunications Corp.,
107282309185;2023-12-06;Telefone Móvel Celular;23076RN8DY;Redmi 12 5G;Ambos (SA / NSA);Xiaomi Communications Co., Ltd.
107262308726;2023-07-05;Telefone Móvel Celular;TC58B1;TC58;Ambos (SA / NSA);Zebra Technologies Corporation
106272200330;2024-07-08;Telefone Móvel Celular;XT2245-1;Motorola Edge 30 Neo;Ambos (SA / NSA);Motorola Mobility LLC
105782208726;2024-08-05;Telefone Móvel Celular;TC15BK;Touch Computer;Ambos (SA / NSA);Zebra Technologies Corporation
096342315156;2024-04-24;Telefone Móvel Celular;X6711;Note 30 5G;Ambos (SA / NSA);INFINIX MOBILITY LIMITED
095832300953;2023-06-22;Telefone Móvel Celular;SM-M346B/DS;;Ambos (SA / NSA);Samsung Electronics Co Ltd.
090072200953;2023-12-12;Telefone Móvel Celular;SM-A236M/DSN;;Ambos (SA / NSA);Samsung Electronics Co Ltd.
087062100953;2023-05-18;Telefone Móvel Celular;SM-F926B/DS;;Ambos (SA / NSA);Samsung Electronics Co Ltd.
086972100953;2023-04-28;Telefone Móvel Celular;SM-F711B;;Ambos (SA / NSA);Samsung Electronics Co Ltd.
086952100953;2023-05-09;Telefone Móvel Celular;SM-G990E/DS;;Ambos (SA / NSA);Samsung Electronics Co Ltd.
086862100330;2022-05-12;Telefone Móvel Celular;XT2139-2;Motorola Edge 20 Lite;Non-standalone (NSA);Motorola Mobility LLC
086722200953;2022-08-25;Telefone Móvel Celular;SM-F936B/DS;;Ambos (SA / NSA);Samsung Electronics Co Ltd.
086672406150;2024-12-02;Telefone Móvel Celular;SMART-EX 03;;Ambos (SA / NSA);Pepperl+Fuchs SE
086572200953;2022-10-08;Telefone Móvel Celular;SM-F721B;;Ambos (SA / NSA);Samsung Electronics Co Ltd.
085712000953;2022-04-01;Telefone Móvel Celular;SM-N986B/DS;Galaxy note 20 Ultra 5G;Non-standalone (NSA);Samsung Electronics Co Ltd.
085702000953;2022-04-05;Telefone Móvel Celular;SM-N981B/DS;Galaxy Note 20 5G;Non-standalone (NSA);Samsung Electronics Co Ltd.
084582413713;2024-10-31;Telefone Móvel Celular;CL7;TECNO CAMON 30 5G;Ambos (SA / NSA);TECNO MOBILE LIMITED
083282003109;2021-02-09;Telefone Móvel Celular;ZS661KS;ROG Phone 3;Ambos (SA / NSA);Asustek Computer Inc.
082162100330;2022-05-20;Telefone Móvel Celular;XT2153-1;Motorola Edge 20 Pro;Non-standalone (NSA);Motorola Mobility LLC
081992100330;2022-05-10;Telefone Móvel Celular;XT2143-1;Motorola Edge 20;Ambos (SA / NSA);Motorola Mobility LLC
081502207600;2022-10-04;Telefone Móvel Celular;T776H;TCL 30 5G;Ambos (SA / NSA);TCL Mobile Communication (HK) Co., Ltd.
081252200330;2024-08-14;Telefone Móvel Celular;XT2243-1;moto edge 30 fusion;Ambos (SA / NSA);Motorola Mobility LLC
080882300953;2023-06-28;Telefone Móvel Celular;SM-F946B/DS;;Ambos (SA / NSA);Samsung Electronics Co Ltd.
080102300953;2023-06-30;Telefone Móvel Celular;SM-F731B;;Ambos (SA / NSA);Samsung Electronics Co Ltd.
078612404858;2024-10-29;Telefone Móvel Celular;SGVNR;MEMOR 35;Ambos (SA / NSA);Datalogic S.R.L.
078612404858;2024-10-29;Telefone Móvel Celular;SGVNR;MEMOR 35X;Ambos (SA / NSA);Datalogic S.R.L.
078012400330;2024-10-16;Telefone Móvel Celular;XT2437-1;;Ambos (SA / NSA);Motorola Mobility LLC
078012400330;2024-10-16;Telefone Móvel Celular;XT2437-1;moto g75 5G;Ambos (SA / NSA);Motorola Mobility LLC
077972409185;2024-09-11;Telefone Móvel Celular;2406APNFAG;Xiaomi 14T;Ambos (SA / NSA);Xiaomi Communications Co., Ltd.
075932103109;2021-11-26;Telefone Móvel Celular;ZS672KS;Zenfone 8 Flip;Ambos (SA / NSA);Asustek Computer Inc.
071332400953;2024-09-09;Telefone Móvel Celular;SM-S721B/DS;;Ambos (SA / NSA);Samsung Electronics Co Ltd.
071302100330;2022-05-20;Telefone Móvel Celular;XT2149-1;Motorola Moto G50 5G;Non-standalone (NSA);Motorola Mobility LLC
071122400330;2024-11-28;Telefone Móvel Celular;XT2435-1;moto g55 5G;Ambos (SA / NSA);Motorola Mobility LLC
071042400330;2024-09-16;Telefone Móvel Celular;XT2433-1;;Ambos (SA / NSA);Motorola Mobility LLC
071042400330;2024-09-16;Telefone Móvel Celular;XT2433-1;moto g35 5G;Ambos (SA / NSA);Motorola Mobility LLC
071042400330;2024-09-16;Telefone Móvel Celular;XT2433-2;;Ambos (SA / NSA);Motorola Mobility LLC
071042400330;2024-09-16;Telefone Móvel Celular;XT2433-2;moto g35 5G;Ambos (SA / NSA);Motorola Mobility LLC
070862103109;2021-11-26;Telefone Móvel Celular;ZS590KS;Zenfone 8;Ambos (SA / NSA);Asustek Computer Inc.
070802407600;2024-11-04;Telefone Móvel Celular;T803E;;Ambos (SA / NSA);TCL Mobile Communication (HK) Co., Ltd.
070082413366;2024-10-02;Telefone Móvel Celular;RMX5000;;Ambos (SA / NSA);Realme Chongqing Mobile Telecommunications Corp.,
069842400330;2024-08-23;Telefone Móvel Celular;XT2409-2;;Ambos (SA / NSA);Motorola Mobility LLC
069842400330;2024-08-23;Telefone Móvel Celular;XT2409-2;motorola edge 50 neo;Ambos (SA / NSA);Motorola Mobility LLC
068432401993;2024-09-18;Telefone Móvel Celular;A3290;;Ambos (SA / NSA);Apple Inc.
068402401993;2024-09-18;Telefone Móvel Celular;A3287;;Ambos (SA / NSA);Apple Inc.
068102401993;2024-09-18;Telefone Móvel Celular;A3296;;Ambos (SA / NSA);Apple Inc.
068092400953;2024-10-07;Telefone Móvel Celular;SM-A166M/DS;;Ambos (SA / NSA);Samsung Electronics Co Ltd.
068082401993;2024-09-18;Telefone Móvel Celular;A3293;;Ambos (SA / NSA);Apple Inc.
067992200330;2024-08-14;Telefone Móvel Celular;XT2241-2;moto edge 30 ultra;Ambos (SA / NSA);Motorola Mobility LLC
067382301654;2023-08-21;Telefone Móvel Celular;EDA57-1;ScanPal EDA57;Ambos (SA / NSA);Honeywell International Inc.
066702303109;2023-06-19;Telefone Móvel Celular;ASUS_AI2205_C;ROG Phone 7;Non-standalone (NSA);Asustek Computer Inc.
066702303109;2023-06-19;Telefone Móvel Celular;ASUS_AI2205_D;ROG Phone 7 PRO;Non-standalone (NSA);Asustek Computer Inc.
065652400330;2024-11-04;Telefone Móvel Celular;XT2407-2;Motorola edge 50;Ambos (SA / NSA);Motorola Mobility LLC
065332416292;2024-06-17;Telefone Móvel Celular;LFi FIVE;Smart Phone;Ambos (SA / NSA);LYOTECH LABS LLC
065332416292;2024-06-17;Telefone Móvel Celular;LFi FOUR;Smart Phone;Ambos (SA / NSA);LYOTECH LABS LLC
065332416292;2024-06-17;Telefone Móvel Celular;LFi ONE;Smart Phone;Ambos (SA / NSA);LYOTECH LABS LLC
065332416292;2024-06-17;Telefone Móvel Celular;LFi SEVEN;Smart Phone;Ambos (SA / NSA);LYOTECH LABS LLC
065332416292;2024-06-17;Telefone Móvel Celular;LFi SIX;Smart Phone;Ambos (SA / NSA);LYOTECH LABS LLC
065332416292;2024-06-17;Telefone Móvel Celular;LFi TWO;Smart Phone;Ambos (SA / NSA);LYOTECH LABS LLC
065332416292;2024-06-17;Telefone Móvel Celular;LIFi THREE;Smart Phone;Ambos (SA / NSA);LYOTECH LABS LLC
064752414862;2024-07-19;Telefone Móvel Celular;CPH2625;OPPO Reno12 5G;Ambos (SA / NSA);Guangdong OPPO Mobile  Telecommunications Co., Ltd
064302400330;2024-08-23;Telefone Móvel Celular;XT2453-1;;Ambos (SA / NSA);Motorola Mobility LLC
064302400330;2024-08-23;Telefone Móvel Celular;XT2453-1;Motorola razr 50;Ambos (SA / NSA);Motorola Mobility LLC
062482300330;2024-11-01;Telefone Móvel Celular;XT2323-1;motorola razr 40;Ambos (SA / NSA);Motorola Mobility LLC
061792209185;2022-05-17;Telefone Móvel Celular;2203129G;;Ambos (SA / NSA);Xiaomi Communications Co., Ltd.
060322400330;2024-06-10;Telefone Móvel Celular;XT2427-1;;Ambos (SA / NSA);Motorola Mobility LLC
060322400330;2024-06-10;Telefone Móvel Celular;XT2427-1;Moto g85 5G;Ambos (SA / NSA);Motorola Mobility LLC
059572313366;2023-05-11;Telefone Móvel Celular;RMX3741;;Ambos (SA / NSA);Realme Chongqing Mobile Telecommunications Corp.,
059052314315;2023-08-28;Telefone Móvel Celular;X50;;Ambos (SA / NSA);Sichuan Koobee Communication Equipament Co., Ltd.
057832400953;2024-06-06;Telefone Móvel Celular;SM-F956B/DS;;Ambos (SA / NSA);Samsung Electronics Co Ltd.
056672414862;2024-07-22;Telefone Móvel Celular;CPH2639;OPPO A80 5G;Ambos (SA / NSA);Guangdong OPPO Mobile  Telecommunications Co., Ltd
056642414862;2024-07-09;Telefone Móvel Celular;CPH2637;OPPO Reno12 F 5G;Ambos (SA / NSA);Guangdong OPPO Mobile  Telecommunications Co., Ltd
056072415156;2024-11-04;Telefone Móvel Celular;X6852;Note 40 5G;Ambos (SA / NSA);INFINIX MOBILITY LIMITED
051732113366;2021-11-29;Telefone Móvel Celular;RMX3241;realme 8 5G;Ambos (SA / NSA);Realme Chongqing Mobile Telecommunications Corp.,
051662413366;2024-06-03;Telefone Móvel Celular;RMX3842;;Ambos (SA / NSA);Realme Chongqing Mobile Telecommunications Corp.,
051192214550;2024-08-14;Telefone Móvel Celular;22041219NY;Redmi 10 5G;Ambos (SA / NSA);Xiaomi Communications Co., Ltd.
051172214550;2022-12-15;Telefone Móvel Celular;22041219G;Redmi 10 5G;Ambos (SA / NSA);Xiaomi Communications Co., Ltd.
051172214550;2022-12-15;Telefone Móvel Celular;22041219PG;POCO M4 5G;Ambos (SA / NSA);Xiaomi Communications Co., Ltd.
051152200953;2022-05-09;Telefone Móvel Celular;SM-A136M/DS;;Ambos (SA / NSA);Samsung Electronics Co Ltd.
051002313713;2023-05-26;Telefone Móvel Celular;KI8;SPARK 10 5G;Ambos (SA / NSA);TECNO MOBILE LIMITED
047712400953;2024-05-16;Telefone Móvel Celular;SM-F741B;;Ambos (SA / NSA);Samsung Electronics Co Ltd.
047492109185;2021-11-24;Telefone Móvel Celular;M2103K19G;;Ambos (SA / NSA);Xiaomi Communications Co., Ltd.
047492109185;2021-11-24;Telefone Móvel Celular;M2103K19PG;;Ambos (SA / NSA);Xiaomi Communications Co., Ltd.
047482109185;2021-11-24;Telefone Móvel Celular;M2012K11AG;;Non-standalone (NSA);Xiaomi Communications Co., Ltd.
047092413366;2024-06-03;Telefone Móvel Celular;RMX3997;;Ambos (SA / NSA);Realme Chongqing Mobile Telecommunications Corp.,
046342411868;2024-09-23;Telefone Móvel Celular;M540A01;IS540.1;Ambos (SA / NSA);i.safe MOBILE GmbH
046342411868;2024-09-23;Telefone Móvel Celular;M540A01;IS540.2;Ambos (SA / NSA);i.safe MOBILE GmbH
046342411868;2024-09-23;Telefone Móvel Celular;M540A01;IS540.M1;Ambos (SA / NSA);i.safe MOBILE GmbH
046342411868;2024-09-23;Telefone Móvel Celular;M540A01;IS540.RG;Ambos (SA / NSA);i.safe MOBILE GmbH
045252400953;2024-05-17;Telefone Móvel Celular;SM-M356B/DS;;Ambos (SA / NSA);Samsung Electronics Co Ltd.
044652300330;2024-10-29;Telefone Móvel Celular;XT2303-2;motorola edge 40;Ambos (SA / NSA);Motorola Mobility LLC
042202415801;2024-09-24;Telefone Móvel Celular;ALI-NX1;Magic6 Lite;Ambos (SA / NSA);Honor Device Co., Ltd
040032200330;2024-08-14;Telefone Móvel Celular;XT2225-1;moto g82 5G;Ambos (SA / NSA);Motorola Mobility LLC
038552400330;2024-11-04;Telefone Móvel Celular;XT2451-3;Motorola razr 50 ultra;Ambos (SA / NSA);Motorola Mobility LLC
038502400330;2024-11-01;Telefone Móvel Celular;XT2401-1;;Ambos (SA / NSA);Motorola Mobility LLC
038502400330;2024-11-01;Telefone Móvel Celular;XT2401-1;motorola edge 50 ultra;Ambos (SA / NSA);Motorola Mobility LLC
035972413366;2024-06-03;Telefone Móvel Celular;RMX3851;;Ambos (SA / NSA);Realme Chongqing Mobile Telecommunications Corp.,
035712200330;2024-08-14;Telefone Móvel Celular;XT2223-2;moto g62 5G;Ambos (SA / NSA);Motorola Mobility LLC
033452400330;2024-09-05;Telefone Móvel Celular;XT2429-1;motorola edge 50 fusion;Ambos (SA / NSA);Motorola Mobility LLC
032742200953;2022-05-06;Telefone Móvel Celular;SM-M336B/DS;;Ambos (SA / NSA);Samsung Electronics Co Ltd.
031122315156;2023-04-18;Telefone Móvel Celular;X666B;HOT 20 5G;Ambos (SA / NSA);INFINIX MOBILITY LIMITED
030722200953;2022-05-05;Telefone Móvel Celular;SM-M536B/DSN;;Ambos (SA / NSA);Samsung Electronics Co Ltd.
030582109185;2021-11-26;Telefone Móvel Celular;M2011K2G;;Non-standalone (NSA);Xiaomi Communications Co., Ltd.
028742200953;2022-05-06;Telefone Móvel Celular;SM-M236B/DS;;Non-standalone (NSA);Samsung Electronics Co Ltd.
027332300330;2024-11-04;Telefone Móvel Celular;XT2321-1;motorola razr 40 ultra;Ambos (SA / NSA);Motorola Mobility LLC
022972000330;2022-05-09;Telefone Móvel Celular;XT2063-3;Motorola Edge;Non-standalone (NSA);Motorola Mobility LLC
022852203589;2022-05-06;Telefone Móvel Celular;X6815B;ZERO 5G;Ambos (SA / NSA);POSITIVO TECNOLOGIA S.A.
021632103109;2022-05-11;Telefone Móvel Celular;ZS673KS;ROG Phone 5;Ambos (SA / NSA);Asustek Computer Inc.
021632103109;2022-05-11;Telefone Móvel Celular;ZS676KS;ROG Phone 5s;Ambos (SA / NSA);Asustek Computer Inc.
021402209185;2022-12-21;Telefone Móvel Celular;2201116PG;;Ambos (SA / NSA);Xiaomi Communications Co., Ltd.
021402209185;2022-12-21;Telefone Móvel Celular;2201116SG;;Ambos (SA / NSA);Xiaomi Communications Co., Ltd.
021282200953;2023-10-25;Telefone Móvel Celular;SM-G781B/DS;;Non-standalone (NSA);Samsung Electronics Co Ltd.
019682415933;2024-01-29;Telefone Móvel Celular;TESTE 2;TESTE 2;Standalone (SA);Polyvox Tecnologia Digital Ltda
007462403109;2024-03-19;Telefone Móvel Celular;ASUS_AI2401_D;Rog Phone 8;Ambos (SA / NSA);Asustek Computer Inc.
